GLNumber,GLName,GLGroup,Signage
41001001,Product Sales,Gross Product Sales,1
41001001,Sales of Product Income,Gross Product Sales,1
41003001,Subscription Revenue,Subscription Revenue,1
41004001,Partnership Delivery Revenue,Delivery Revenue,1
41006001,Chargebacks,Chargebacks and Refunds,1
41011001,Sales Discounts,Product Sale Discounts,1
41012001,Unapplied Cash Payment Income,Gross Product Sales,1
41016001,Refunds,Chargebacks and Refunds,1
41021001,GoPuff Ads Revenue,Data Licensing & SIPs Revenue,1
41023001,Liquidation Revenue,Gross Product Sales,1
41026001,Data Licensing Revenue,Data Licensing & SIPs Revenue,1
41027001,Consignment Expense Contra Revenue,Other revenue,1
41028001,Priority Fee Revenue,Delivery Revenue,1
51001001,COGS,Direct Product Costs,-1
51005002,COGS: Deliver Costs - Bags,Order Packaging (Bags),-1
51006002,COGS: GMS,Global Ads Contra COGS,-1
51008001,COGS: Merchandising Incentives,Merch Incentives,-1
51011001,COGS: Shrink Reserve,Inventory Reserves,-1
51013001,COGS: Purch Price Variance,Purchase Price Variance,-1
51016001,Contra COGS: Trade Rate,Merch Incentives,-1
51017001,Contra COGS: Citrus Ad,Global Ads Contra COGS,-1
51018001,COGS: Partnerships,Partnership Fees,-1
51021001,COGS: Damaged & Expired,Damaged and Expired,-1
51022001,COGS: Cycle Count Adjustments,Damaged and Expired,-1
51025001,Inventory Reserves - E&O,Inventory Reserves,-1
61207001,Warehouse Maintenance and Pest Costs,Utilities and Facilities,-1
61207005,MFC Equipment (less than 1000) and Supplies,Utilities and Facilities,-1
61301001,Freight & Delivery Outbound,Inbound Freight and DC Costs,-1
61302001,Freight & Delivery Inbound,Inbound Freight and DC Costs,-1
61403002,Fines: Motor Vehicle,Other MFC Opex,-1
61405001,Shipping Expense,Other Corp SG&A,-1
61406001,Office Supplies,Other MFC Opex,-1
61412002,Telephone - 5G Connectivity,Other MFC Opex,-1
61412003,Telephone - MFC Phones,Other MFC Opex,-1
61416001,Payroll Service Charge,Other Corp SG&A,-1
62101001,Employer Payroll Taxes Expense,Corp S&W,-1
62104001,Salaries & Wage,Corp S&W,-1
62104002,Sal & Wages: Customer Support and ops,Corp S&W,-1
62104003,Sal & Wages: W/H Costs,Corp S&W,-1
62105001,1099 Driver Pay,Driver Earnings,-1
62106001,1099 Driver Pay Tips,Driver Earnings,-1
62107001,OA Salaries & Wages,Operations Wages,-1
62109001,W2 Driver Pay,Driver Earnings,-1
62110001,W2 Driver Pay Tips,Driver Earnings,-1
62113001,Vacation,Corp S&W,-1
62116001,Employers National Insurance,Corp S&W,-1
62116301,Employers National Insurance - Hourly,Operations Wages,-1
62118001,Temporary Help,Corp S&W,-1
62119001,Severance,Severance,-1
62120001,Apprenticeship Levy,Corp S&W,-1
62121001,Bonus Expense,Corp S&W,-1
62122001,Sign-on Bonus Expense,Corp S&W,-1
62125001,Gopuff Allocated Salaries,Corp S&W,-1
62201001,Benefits Expense,Corp S&W,-1
62206001,Employee Incentives,Corp S&W,-1
62207001,GTL Insurance,Corp S&W,-1
62208001,Misc Employee Deductions,Corp S&W,-1
62209001,Employee Health Insurance,Corp S&W,-1
62212001,Other Employee Benefits,Other Corp SG&A,-1
62213001,Seminar & Training,Other MFC Opex,-1
62214001,Dental Insurance,Corp S&W,-1
62215001,Office Meals,Other Corp SG&A,-1
62219001,Pensions Costs,Corp S&W,-1
62219002,Pension Costs: MFC,Corp S&W,-1
62220001,Medical Insurance,Corp S&W,-1
63101001,Depr: Computer & Office Equipment,Depreciation,-1
63102001,Depr: Furniture & Fixtures,Depreciation,-1
63103001,Depr: Leasehold Improvements,Depreciation,-1
63109001,Depr: Machinery & Equipment,Depreciation,-1
63199001,Depr: Other,Depreciation,-1
63201003,Fac Rent: Business Rates,MFC Rent,-1
63203001,Fixed Lease Cost - Real Estate,MFC Rent,-1
63205001,Rent Clearing - Real Estate,MFC Rent,-1
63208001,Variable Lease Cost - Variable Rent Other,MFC Rent,-1
63209001,"Variable Lease Cost - CAM, Insurance, Taxes and other",MFC Rent,-1
63211001,Lease Termination Cost,Lease Termination,-1
63212001,Gain/Loss on lease adjustments,Lease Adj Gains/Losses,-1
63302001,Security Expenses,Other MFC Opex,-1
63302008,Security: Manned,Other MFC Opex,-1
63303001,Waste Removal,Utilities and Facilities,-1
63304002,Utilities: Water,Utilities and Facilities,-1
63304003,Utilities: Gas,Utilities and Facilities,-1
63304004,Utilities: Electricity,Utilities and Facilities,-1
63304006,Utilities: PHS,Utilities and Facilities,-1
63305001,Repairs and Maintenance,Other MFC Opex,-1
63305011,Repair & Maint: Reactive Repair Works,Other MFC Opex,-1
63309001,Leasehold Expenses,Other MFC Opex,-1
63312001,Office/MFC Relocation,Other MFC Opex,-1
63404001,Insurance Expense - Miscellaneous,Insurance,-1
63506001,Adv & Promo: Brand,Advertising & Promotion,-1
63508001,Adv & Promo: Marketing Tools & Services,Advertising & Promotion,-1
63511001,Adv & Promo: Partnerships,Advertising & Promotion,-1
63601001,Prof Services: Accounting Fees,Other Corp SG&A,-1
63601301,Audit Fees,Other Corp SG&A,-1
63602001,Prof Services: Consulting Fees,Other Corp SG&A,-1
