GLNumber,GLName,GLGroup
41001001,Product Sales,Gross Product Sales
41001001,Sales of Product Income,Gross Product Sales
41003001,Subscription Revenue,Subscription
41004001,Partnership Delivery Revenue,Delivery Revenue
41006001,Chargebacks,Chargebacks and Refunds
41011001,Sales Discounts,Product Sale Discounts
41012001,Unapplied Cash Payment Income,Gross Product Sales
41016001,Refunds,Chargebacks and Refunds
41021001,GoPuff Ads Revenue,Data Licensing & SIPs Revenue
41023001,Liquidation Revenue,Gross Product Sales
41026001,Data Licensing Revenue,Data Licensing & SIPs Revenue
41027001,Consignment Expense Contra Revenue,Other revenue
41028001,Priority Fee Revenue,Delivery Revenue
51001001,COGS,Direct Product Costs
51001003,COGS: Product Manual,Direct Product Costs
51005001,COGS:Purchases Packages,Order Packaging (Bags)
51005002,COGS: Deliver Costs - Bags,Order Packaging (Bags)
51006001,COGS: BD Partnerships,Global Ads Contra COGS
51006002,COGS: GMS,Global Ads Contra COGS
51006002,Merchandise Billing,Global Ads Contra COGS
51008001,COGS: Merchandising Incentives,Merch Incentives
51011001,COGS: Shrink Reserve,Inventory Reserves
51013001,COGS: Purch Price Variance,Purchase Price Variance
51016001,Contra COGS: Trade Rate,Merch Incentives
51017001,Contra COGS: Citrus Ad,Global Ads Contra COGS
51018001,COGS: Partnerships,Partnership Fees
51021001,COGS: Damaged & Expired,Damaged and Expired
51022001,COGS: Cycle Count Adjustments,Damaged and Expired
51023001,Discounts and Allowances,Non-Transactional Shrink
51024001,COGS: Other Operational Shrink,Non-Transactional Shrink
51025001,Inventory Reserves - E&O,Inventory Reserves
61105001,Uber Eats Commission,Partnership Fees
61207001,Warehouse Maintenance and Pest Costs,Utilities and Facilities
61207002,Equipment rental expense,Utilities and Facilities
61207003,Stickers,Utilities and Facilities
61207005,MFC Equipment (less than 1000),Utilities and Facilities
61207005,MFC Equipment (less than 1000) and Supplies,Utilities and Facilities
61301001,Freight & Delivery Outbound,Inbound Freight and DC Costs
61302001,Freight & Delivery Inbound,Inbound Freight and DC Costs
61303001,Freight and Delivery Charge,Inbound Freight and DC Costs
61401001,Bag Labels,Order Packaging (Bags)
61403002,Fines: Motor Vehicle,Other MFC Opex
61405001,Shipping Expense,Other Corp SG&A
61406001,MFC Supplies,Other MFC Opex
61406001,Office Supplies,Other MFC Opex
61408002,Moped Variable costs,Other MFC Opex
61408003,Bike Variable costs,Other MFC Opex
61408004,Owned bike variable costs,Other MFC Opex
61408005,Bike charger,Other MFC Opex
61408006,Lost/Recovered bike,Other MFC Opex
61408007,Moped charger,Other MFC Opex
61408008,Lost/Recovered moped,Other MFC Opex
61412001,Telephone - Cellular,Other MFC Opex
61412002,Telephone - 5G Connectivity,Other MFC Opex
61412003,Telephone - MFC Phones,Other MFC Opex
61416001,Payroll Service Charge,Other Corp SG&A
61418001,Credit Card Chargebacks,Chargebacks and Refunds
61499001,Other Operating,Other Corp SG&A
62101001,Employer Payroll Taxes Expense,Corp S&W
