GLNumber,GLName,GLGroup,GLCategoryMFC,GLCategoryHQ,Signage,,
41001001,Product Sales,Gross Product Sales,Revenue,na,1,"98,566,409 ",- 
41001001,Sales of Product Income,Gross Product Sales,Revenue,na,1,"98,566,409 ",- 
41003001,Subscription Revenue,Subscription,Revenue,na,1,"1,414,775 ",- 
41004001,Partnership Delivery Revenue,Delivery Revenue,Revenue,na,1,"4,326,611 ",- 
41006001,Chargebacks,Chargebacks and Refunds,Revenue,na,1,"(34,491) ",- 
41011001,Sales Discounts,Product Sale Discounts,Revenue,na,1,"(2,345,571) ",- 
41012001,Unapplied Cash Payment Income,Gross Product Sales,Revenue,na,1,"(60,388) ",- 
41016001,Refunds,Chargebacks and Refunds,Revenue,na,1,"(466,443) ",- 
41021001,GoPuff Ads Revenue,Data Licensing & SIPs Revenue,Revenue,na,1,"57,936 ",- 
41023001,Liquidation Revenue,Gross Product Sales,Revenue,na,1,"16,350 ",- 
41026001,Data Licensing Revenue,Data Licensing & SIPs Revenue,Revenue,na,1,"101,000 ",- 
41027001,Consignment Expense Contra Revenue,Other revenue,Revenue,na,1,"41,033 ",- 
41028001,Priority Fee Revenue,Delivery Revenue,Revenue,na,1,"378,955 ",- 
51001001,COGS,Direct Product Costs,COGS,na,-1,"63,389,168 ",- 
51001003,COGS: Product Manual,Direct Product Costs,COGS,na,-1,- ,- 
51005001,COGS:Purchases Packages,Order Packaging (Bags),VFC,na,-1,- ,- 
51005002,COGS: Deliver Costs - Bags,Order Packaging (Bags),VFC,na,-1,"762,522 ",- 
51006001,COGS: BD Partnerships,Global Ads Contra COGS,COGS,na,,- ,- 
51006002,COGS: GMS,Global Ads Contra COGS,COGS,na,-1,"(1,208,255) ",- 
51006002,Merchandise Billing,Global Ads Contra COGS,COGS,na,-1,"(1,208,255) ",- 
51008001,COGS: Merchandising Incentives,Merch Incentives,COGS,na,-1,"(1,040,934) ",- 
51011001,COGS: Shrink Reserve,Inventory Reserves,COGS,na,-1,"(6,945) ",- 
51013001,COGS: Purch Price Variance,Purchase Price Variance,COGS,na,-1,"(33,357) ",- 
51016001,Contra COGS: Trade Rate,Merch Incentives,COGS,na,-1,"(566,040) ",- 
51017001,Contra COGS: Citrus Ad,Global Ads Contra COGS,COGS,na,-1,0 ,- 
51018001,COGS: Partnerships,Partnership Fees,VFC,na,-1,"7,877,555 ",- 
51021001,COGS: Damaged & Expired,Damaged and Expired,COGS,na,-1,"3,062,694 ",- 
51022001,COGS: Cycle Count Adjustments,Damaged and Expired,COGS,na,-1,"(148,869) ",- 
51023001,Discounts and Allowances,Non-Transactional Shrink,COGS,na,-1,- ,- 
51024001,COGS: Other Operational Shrink,Non-Transactional Shrink,COGS,na,-1,- ,- 
51025001,Inventory Reserves - E&O,Inventory Reserves,COGS,na,-1,"21,562 ",- 
61105001,Uber Eats Commission,Partnership Fees,VFC,na,-1,- ,- 
61207001,Warehouse Maintenance and Pest Costs,Utilities and Facilities,,,,"39,573 ",- 
61207002,Equipment rental expense,Utilities and Facilities,,,,- ,- 
61207003,Stickers,Utilities and Facilities,,,,- ,- 
61207005,MFC Equipment (less than 1000),Utilities and Facilities,,,,"99,291 ",485 
61207005,MFC Equipment (less than 1000) and Supplies,Utilities and Facilities,,,,"99,291 ",485 
61301001,Freight & Delivery Outbound,Inbound Freight and DC Costs,VFC,,-1,"1,747,019 ",(0) 
61302001,Freight & Delivery Inbound,Inbound Freight and DC Costs,VFC,,-1,"685,304 ",0 
61303001,Freight and Delivery Charge,Inbound Freight and DC Costs,,,,- ,- 
61401001,Bag Labels,Order Packaging (Bags),VFC,,-1,- ,- 
61403002,Fines: Motor Vehicle,Other MFC Opex,,,,425 ,- 
61405001,Shipping Expense,Other Corp SG&A,,,,"6,094 ","4,754 "
61406001,MFC Supplies,Other MFC Opex,,,,241 ,(55) 
61406001,Office Supplies,Other MFC Opex,,,,241 ,(55) 
61408002,Moped Variable costs,Other MFC Opex,,,,- ,- 
61408003,Bike Variable costs,Other MFC Opex,,,,- ,- 
61408004,Owned bike variable costs,Other MFC Opex,,,,- ,- 
61408005,Bike charger,Other MFC Opex,,,,- ,- 
61408006,Lost/Recovered bike,Other MFC Opex,,,,- ,- 
61408007,Moped charger,Other MFC Opex,,,,- ,- 
61408008,Lost/Recovered moped,Other MFC Opex,,,,- ,- 
61412001,Telephone - Cellular,Other MFC Opex,,,,- ,- 
61412002,Telephone - 5G Connectivity,Other MFC Opex,,,,"197,392 ","5,048 "
61412003,Telephone - MFC Phones,Other MFC Opex,,,,(328) ,- 
61416001,Payroll Service Charge,Other Corp SG&A,,,,- ,"57,356 "
61418001,Credit Card Chargebacks,Chargebacks and Refunds,Revenue,,1,- ,- 
61499001,Other Operating,Other Corp SG&A,,,,- ,- 
62101001,Employer Payroll Taxes Expense,Corp S&W,,,,- ,"9,729 "
62104001,Salaries & Wage,Corp S&W,,,,- ,"4,449,193 "
62104002,Sal & Wages: Customer Support,Corp S&W,,,,"4,800 ","707,932 "
62104002,Sal & Wages: Customer Support and ops,Corp S&W,,,,"4,800 ","707,932 "
62104003,Sal & Wages: W/H Costs,Corp S&W,MFCOP,,,"918,826 ",- 
62104004,Salaries & Wage: NI,Corp S&W,,,,- ,- 
62104005,Salaries & Wage: MFC,Corp S&W,,,,- ,- 
62105001,1099 Driver Pay,Driver Earnings,VFC,,-1,"14,714,392 ",(237) 
62106001,1099 Driver Pay Tips,Driver Earnings,VFC,,-1,"231,606 ",237 
62107001,OA Salaries & Wages,Operation Wages,VFC,,-1,"8,146,925 ","(23,907) "
62109001,W2 Driver Pay,Driver Earnings,VFC,,-1,"1,945 ",- 
62110001,W2 Driver Pay Tips,Driver Earnings,VFC,,-1,10 ,- 
62113001,Vacation,Corp S&W,VFC,,-1,"36,082 ","(21,809) "
62116001,Employers National Insurance,Corp S&W,VFC,,-1,"108,214 ","581,937 "
62116301,Employers National Insurance - Hourly,Operation Wages,VFC,,-1,"563,592 ","51,994 "
62118001,Temporary Help,Corp S&W,,,,- ,"54,266 "
62119001,Severance,Severance,,,,"13,936 ","318,805 "
62120001,Apprenticeship Levy,Corp S&W,,,,- ,"60,368 "
62121001,Bonus Expense,Corp S&W,,,,"33,398 ","(68,205) "
62122001,Sign-on Bonus Expense,Corp S&W,,,,- ,"12,854 "
62125001,Gopuff Allocated Salaries,Corp S&W,,,,- ,"(570,009) "
62201001,Benefits Expense,Corp S&W,,,,"22,274 ","82,517 "
62204001,Employee Reimbursements,Corp S&W,,,,- ,- 
62206001,Employee Incentives,Corp S&W,,,,(0) ,25 
62207001,GTL Insurance,Corp S&W,,,,- ,"50,654 "
62208001,Misc Employee Deductions,Corp S&W,,,,"(1,697) ","(7,208) "
62209001,Employee Health Insurance,Corp S&W,,,,- ,340 
62212001,Other Employee Benefits,Other Corp SG&A,,,,0 ,- 
62213001,Seminar & Training,Other MFC Opex,,,,0 ,"7,189 "
62214001,Dental Insurance,Corp S&W,,,,- ,"27,523 "
62215001,Office Meals,Other Corp SG&A,,,,- ,"2,329 "
62219001,Pensions Costs,Corp S&W,,,,"14,563 ","69,446 "
62219002,Pension Costs: MFC,Corp S&W,VFC,Opex,-1,"77,008 ","12,979 "
62219002,Pension Costs: MFC Salaried,Corp S&W,VFC,Opex,-1,"77,008 ","12,979 "
62220001,Medical Insurance,Corp S&W,,,,- ,"108,393 "
63101001,Depr: Computer & Office Equipment,Depreciation,,,,(0) ,0 
63102001,Depr: Furniture & Fixtures,Depreciation,,,,0 ,0 
63103001,Depr: Leasehold Improvements,Depreciation,,,,(0) ,0 
63104001,Depr: Auto,Depreciation,,,,- ,- 
63109001,Depr: Machinery & Equipment,Depreciation,,,,0 ,0 
63199001,Depr: Other,Depreciation,,,,"1,957,748 ","321,811 "
63201001,Facilities Rent,MFC Rent,,,,- ,- 
63201002,Fac Rent: Serv Charge,MFC Rent,,,,- ,- 
63201003,Fac Rent: Business Rates,MFC Rent,,,,"797,070 ","7,832 "
63202001,Equipment Rental,Other MFC Opex,,,,- ,- 
63202002,Delivery Costs: Moped Rental,Other MFC Opex,,,,- ,- 
63203001,Fixed Lease Cost - Real Estate,MFC Rent,,,,"2,811,698 ","377,618 "
63204001,Fixed Lease Cost - Vehicles,Other MFC Opex,,,,- ,- 
63205001,Rent Clearing - Real Estate,MFC Rent,,,,0 ,- 
63206001,Rent Clearing - Equipment,Other MFC Opex,,,,- ,- 
63208001,Variable Lease Cost - Variable Rent Other,MFC Rent,,,,611 ,- 
63209001,"Variable Lease Cost - CAM, Insurance, Taxes and other",MFC Rent,,,,"226,193 ","1,794 "
63210001,Short-term lease costs,MFC Rent,,,,- ,- 
63211001,Lease Termination Cost,Lease Termination,,,,"340,911 ",- 
63212001,Gain/Loss on lease adjustments,Lease Adj Gains/Losses,,,,"(192,790) ",- 
63301001,Janitorial Expense,Utilities and Facilities,,,,- ,- 
63302001,Security Expenses,Other MFC Opex,,,,"36,492 ",- 
63302002,Security: Fire Alarms,Other MFC Opex,,,,- ,- 
63302003,Security: FRA,Other MFC Opex,,,,- ,- 
63302004,Security: Fire Extinguishers,Other MFC Opex,,,,- ,- 
63302005,Security: CCTV,Other MFC Opex,,,,- ,- 
63302006,Security: Alarm Monitoring,Other MFC Opex,,,,- ,- 
63302007,Security: Intruder Alarms,Other MFC Opex,,,,- ,- 
63302008,Security: Manned,Other MFC Opex,,,,"7,392 ",- 
63302009,Security: Drugs & Alchohol,Other MFC Opex,,,,- ,- 
63302010,Security: Door,Other MFC Opex,,,,- ,- 
63303001,Waste Removal,Utilities and Facilities,,,,"295,609 ",- 
63304001,Utilities,Utilities and Facilities,,,,- ,- 
63304002,Utilities: Water,Utilities and Facilities,,,,"58,884 ",- 
63304003,Utilities: Gas,Utilities and Facilities,,,,"(49,792) ",- 
63304004,Utilities: Electricity,Utilities and Facilities,,,,"1,140,161 ","18,691 "
63304005,Utilities: Cleaning service,Utilities and Facilities,,,,- ,- 
63304006,Utilities: PHS,Utilities and Facilities,,,,"18,328 ",- 
63305001,Repairs and Maintenance,Other MFC Opex,,,,"491,854 ","(74,076) "
63305002,Repair & Maint: AC Service,Other MFC Opex,,,,- ,- 
63305003,Repair & Maint: Refrigeration,Other MFC Opex,,,,- ,- 
63305004,Repair & Maint: EICR,Other MFC Opex,,,,- ,- 
63305005,Repair & Maint: Emergency Light Testing,Other MFC Opex,,,,- ,- 
63305006,Repair & Maint: PAT,Other MFC Opex,,,,- ,- 
63305007,Repair & Maint: Gas Boilers,Other MFC Opex,,,,- ,- 
63305008,Repair & Maint: Roller Doors,Other MFC Opex,,,,- ,- 
63305009,Repair & Maint: Auto Doors,Other MFC Opex,,,,- ,- 
63305010,Repair & Maint: Water Risk Assessments,Other MFC Opex,,,,- ,- 
63305011,Repair & Maint: Reactive Repair Works,Other MFC Opex,,,,"(68,179) ","8,045 "
