Location,LocationGroup
0000000 Default,Review
3001001 Unassigned,MFC
3001183 Birmingham,MFC
3001184 Brent Cross,MFC
3001185 Bristol-Old,MFC
3001186 Cardiff,MFC
3001187 Leeds,MFC
3001188 Liverpool,MFC
3001189 Salford,MFC
3001190 Manchester,MFC
3001191 Newcastle,MFC
3001192 Nottingham,MFC
3001193 Sheffield,MFC
3001225 Bristol,MFC
3001238 Wandsworth,MFC
3001249 Holloway,MFC
3001250 Battersea Old,MFC
3001251 Bethnal Green,MFC
3001252 Leytonstone,MFC
3001253 Bermondsey,MFC
3001254 Cambridge,MFC
3001291 Hackney,MFC
3001292 Acton,MFC
3001294 Waterloo,MFC
3001301 Balham,MFC
3001302 Chessington,MFC
3001308 Tottenham,MFC
3001309 Greenwich,MFC
3001317 Croydon,MFC
3001318 Swansea,MFC
3001319 Coventry,MFC
3001321 Watford,MFC
3001323 Bow,MFC
3001350 High Wycombe,MFC
3001352 Harrow,MFC
3001353 Birmingham,MFC
3001353 Birmingham 2,MFC
3001368 Derby,MFC
3001369 Twickenham,MFC
3001375 Paddington,MFC
3001379 Luton,MFC
3001380 Bromley,MFC
3001381 Bethnal Green RL,MFC
3001383 Battersea RL,MFC
3001391 Stratford,MFC
3001398 Manchester 2,MFC
3001401 Waterloo RL,MFC
3001420 Gateshead,MFC
3001479 Greenford,MFC
3001537 Wembley,MFC
3001563 Sunbury DC,MFC
3001578 Camden_MO,MFC
3001578 Camden_MO_1578,MFC
3001588 Tottenham RL,MFC
3001593 MOR_Newcastle,MFC
3001593 Tynemouth _MO,MFC
3001616 Kensington,MFC
3001617 Watford_MO,MFC
4000002 HQ,HQ
Multiple Categories,Review
